img_file,predicted_class,probabilities
f670e112-aee6-433e-961f-ecac2bc0dd9b.png,sharp,"[0.08885002881288528, 0.9111499786376953]"
b1c3e942-6290-425b-8a06-bbb364fbfee9.png,blurred,"[0.9925689101219177, 0.007431034464389086]"
3f48428f-a9af-4f9c-b1aa-033a2b270611.png,sharp,"[0.0790703073143959, 0.9209297299385071]"
33a4b368-f5f4-41a3-9a9f-57c0c9d580c0.png,blurred,"[0.9793282151222229, 0.0206717811524868]"
6e8cbf1e-99b5-4764-ab0d-eb94959bcc0e.png,sharp,"[0.28804075717926025, 0.7119592428207397]"
32e825c9-6e6b-4e5a-aabd-58ac191a9f25.png,sharp,"[0.05367942154407501, 0.9463205933570862]"
87e3667c-3b67-4d05-add5-63f4fdf8dac4.png,blurred,"[0.9129095673561096, 0.08709046244621277]"
5614ed8e-6f0b-4d7e-b8ed-e7e8823987e2.png,sharp,"[0.012794408947229385, 0.9872056245803833]"
78396ff5-081d-480c-a13f-fc13407a927c.png,sharp,"[0.11054491996765137, 0.8894550204277039]"
68f2e110-6c5c-400e-ab4f-18c20b198233.png,blurred,"[0.9301400780677795, 0.06985989958047867]"
371a5cb6-1fd9-4130-8a3f-d32a99624645.png,blurred,"[0.7216225266456604, 0.2783774435520172]"
371e9121-8fae-434e-8740-7c4ff0cece13.png,sharp,"[0.01258533913642168, 0.9874146580696106]"
7531fc2f-75d7-470b-a5f6-0109e8239f28.png,sharp,"[0.4583331048488617, 0.5416669249534607]"
7731213f-cb83-4800-b703-022f06029bde.png,sharp,"[0.1831916719675064, 0.81680828332901]"
5cdf1796-978c-4020-a159-b3c0ea01aeae.png,sharp,"[0.2733239531517029, 0.7266760468482971]"
ac6a916f-7188-4461-ad09-c44e2adaa317.png,blurred,"[0.9714752435684204, 0.0285247340798378]"
d83741f1-4088-4f12-9798-644f285d4c98.png,sharp,"[0.13538852334022522, 0.8646114468574524]"
1ab901f4-6baf-41d5-9276-797456c57b49.png,blurred,"[0.964038074016571, 0.03596189618110657]"
ba476b0e-1f07-426c-8788-f5d803c36bc9.png,sharp,"[0.011645862832665443, 0.9883540868759155]"
7da98909-52a9-403f-ae43-c994574649c8.png,sharp,"[0.29207557439804077, 0.7079243659973145]"
1822d795-f15c-4680-b48c-2cc38724d5d2.png,blurred,"[0.9998712539672852, 0.00012875911488663405]"
c636c90f-2e23-4a0b-a76c-a40469c0fa12.png,blurred,"[0.8424765467643738, 0.15752340853214264]"
a3d69bf0-ea05-47dd-b477-4f60226f3524.png,blurred,"[0.9998012185096741, 0.00019874432473443449]"
a1634e31-375c-470d-808f-fbee98950ebe.png,sharp,"[3.3462783903814852e-06, 0.9999966621398926]"
665c99db-3a1f-45ce-831d-5f62d654b089.png,sharp,"[0.026647038757801056, 0.9733529686927795]"
e2177155-1bef-4df5-ac6a-48851952a71c.png,sharp,"[0.1430942565202713, 0.8569057583808899]"
82600fb2-2b98-4376-8948-03f81b071797.png,sharp,"[0.45198190212249756, 0.5480180978775024]"
bf746739-837d-4e8b-a61c-d315280b20dc.png,blurred,"[0.9999786615371704, 2.1355457647587173e-05]"
8c2334bd-0f92-4167-be03-6ace6e90be1e.png,blurred,"[0.5027525424957275, 0.49724745750427246]"
d30122e7-ba59-4d40-ad23-2a5ba1b3282d.png,sharp,"[0.0021891864016652107, 0.9978107810020447]"
afb688c2-672a-428d-950e-705891c588c3.png,blurred,"[0.8212779760360718, 0.17872197926044464]"
aa972443-d528-4ba1-862c-9b172404f12c.png,sharp,"[0.0011343510122969747, 0.9988657236099243]"
c78ca696-78af-4981-bb6c-d636d0f05fdc.png,sharp,"[0.0010567517019808292, 0.9989432692527771]"
74c1cdf6-262a-4729-a9cd-ad38c53c6610.png,sharp,"[0.01798630878329277, 0.9820136427879333]"
1a1df3a5-f1c0-43eb-a778-c43b258b3e11.png,sharp,"[0.023429129272699356, 0.9765708446502686]"
